season,round,raceName,circuitId,lat,long,country,date,url
2010,1,Bahrain Grand Prix,bahrain,26.0325,50.5106,Bahrain,14/03/2010,http://en.wikipedia.org/wiki/2010_Bahrain_Grand_Prix
2010,2,Australian Grand Prix,albert_park,-37.8497,144.968,Australia,28/03/2010,http://en.wikipedia.org/wiki/2010_Australian_Grand_Prix
2010,3,Malaysian Grand Prix,sepang,2.76083,101.738,Malaysia,04/04/2010,http://en.wikipedia.org/wiki/2010_Malaysian_Grand_Prix
2010,4,Chinese Grand Prix,shanghai,31.3389,121.22,China,18/04/2010,http://en.wikipedia.org/wiki/2010_Chinese_Grand_Prix
2010,5,Spanish Grand Prix,catalunya,41.57,2.26111,Spain,09/05/2010,http://en.wikipedia.org/wiki/2010_Spanish_Grand_Prix
2010,6,Monaco Grand Prix,monaco,43.7347,7.42056,Monaco,16/05/2010,http://en.wikipedia.org/wiki/2010_Monaco_Grand_Prix
2010,7,Turkish Grand Prix,istanbul,40.9517,29.405,Turkey,30/05/2010,http://en.wikipedia.org/wiki/2010_Turkish_Grand_Prix
2010,8,Canadian Grand Prix,villeneuve,45.5,-73.5228,Canada,13/06/2010,http://en.wikipedia.org/wiki/2010_Canadian_Grand_Prix
2010,9,European Grand Prix,valencia,39.4589,-0.331667,Spain,27/06/2010,http://en.wikipedia.org/wiki/2010_European_Grand_Prix
2010,10,British Grand Prix,silverstone,52.0786,-1.01694,UK,11/07/2010,http://en.wikipedia.org/wiki/2010_British_Grand_Prix
2010,11,German Grand Prix,hockenheimring,49.3278,8.56583,Germany,25/07/2010,http://en.wikipedia.org/wiki/2010_German_Grand_Prix
2010,12,Hungarian Grand Prix,hungaroring,47.5789,19.2486,Hungary,01/08/2010,http://en.wikipedia.org/wiki/2010_Hungarian_Grand_Prix
2010,13,Belgian Grand Prix,spa,50.4372,5.97139,Belgium,29/08/2010,http://en.wikipedia.org/wiki/2010_Belgian_Grand_Prix
2010,14,Italian Grand Prix,monza,45.6156,9.28111,Italy,12/09/2010,http://en.wikipedia.org/wiki/2010_Italian_Grand_Prix
2010,15,Singapore Grand Prix,marina_bay,1.2914,103.864,Singapore,26/09/2010,http://en.wikipedia.org/wiki/2010_Singapore_Grand_Prix
2010,16,Japanese Grand Prix,suzuka,34.8431,136.541,Japan,10/10/2010,http://en.wikipedia.org/wiki/2010_Japanese_Grand_Prix
2010,17,Korean Grand Prix,yeongam,34.7333,126.417,Korea,24/10/2010,http://en.wikipedia.org/wiki/2010_Korean_Grand_Prix
2010,18,Brazilian Grand Prix,interlagos,-23.7036,-46.6997,Brazil,07/11/2010,http://en.wikipedia.org/wiki/2010_Brazilian_Grand_Prix
2010,19,Abu Dhabi Grand Prix,yas_marina,24.4672,54.6031,UAE,14/11/2010,http://en.wikipedia.org/wiki/2010_Abu_Dhabi_Grand_Prix
2011,1,Australian Grand Prix,albert_park,-37.8497,144.968,Australia,27/03/2011,http://en.wikipedia.org/wiki/2011_Australian_Grand_Prix
2011,2,Malaysian Grand Prix,sepang,2.76083,101.738,Malaysia,10/04/2011,http://en.wikipedia.org/wiki/2011_Malaysian_Grand_Prix
2011,3,Chinese Grand Prix,shanghai,31.3389,121.22,China,17/04/2011,http://en.wikipedia.org/wiki/2011_Chinese_Grand_Prix
2011,4,Turkish Grand Prix,istanbul,40.9517,29.405,Turkey,08/05/2011,http://en.wikipedia.org/wiki/2011_Turkish_Grand_Prix
2011,5,Spanish Grand Prix,catalunya,41.57,2.26111,Spain,22/05/2011,http://en.wikipedia.org/wiki/2011_Spanish_Grand_Prix
2011,6,Monaco Grand Prix,monaco,43.7347,7.42056,Monaco,29/05/2011,http://en.wikipedia.org/wiki/2011_Monaco_Grand_Prix
2011,7,Canadian Grand Prix,villeneuve,45.5,-73.5228,Canada,12/06/2011,http://en.wikipedia.org/wiki/2011_Canadian_Grand_Prix
2011,8,European Grand Prix,valencia,39.4589,-0.331667,Spain,26/06/2011,http://en.wikipedia.org/wiki/2011_European_Grand_Prix
2011,9,British Grand Prix,silverstone,52.0786,-1.01694,UK,10/07/2011,http://en.wikipedia.org/wiki/2011_British_Grand_Prix
2011,10,German Grand Prix,nurburgring,50.3356,6.9475,Germany,24/07/2011,http://en.wikipedia.org/wiki/2011_German_Grand_Prix
2011,11,Hungarian Grand Prix,hungaroring,47.5789,19.2486,Hungary,31/07/2011,http://en.wikipedia.org/wiki/2011_Hungarian_Grand_Prix
2011,12,Belgian Grand Prix,spa,50.4372,5.97139,Belgium,28/08/2011,http://en.wikipedia.org/wiki/2011_Belgian_Grand_Prix
2011,13,Italian Grand Prix,monza,45.6156,9.28111,Italy,11/09/2011,http://en.wikipedia.org/wiki/2011_Italian_Grand_Prix
2011,14,Singapore Grand Prix,marina_bay,1.2914,103.864,Singapore,25/09/2011,http://en.wikipedia.org/wiki/2011_Singapore_Grand_Prix
2011,15,Japanese Grand Prix,suzuka,34.8431,136.541,Japan,09/10/2011,http://en.wikipedia.org/wiki/2011_Japanese_Grand_Prix
2011,16,Korean Grand Prix,yeongam,34.7333,126.417,Korea,16/10/2011,http://en.wikipedia.org/wiki/2011_Korean_Grand_Prix
2011,17,Indian Grand Prix,buddh,28.3487,77.5331,India,30/10/2011,http://en.wikipedia.org/wiki/2011_Indian_Grand_Prix
2011,18,Abu Dhabi Grand Prix,yas_marina,24.4672,54.6031,UAE,13/11/2011,http://en.wikipedia.org/wiki/2011_Abu_Dhabi_Grand_Prix
2011,19,Brazilian Grand Prix,interlagos,-23.7036,-46.6997,Brazil,27/11/2011,http://en.wikipedia.org/wiki/2011_Brazilian_Grand_Prix
2012,1,Australian Grand Prix,albert_park,-37.8497,144.968,Australia,18/03/2012,http://en.wikipedia.org/wiki/2012_Australian_Grand_Prix
2012,2,Malaysian Grand Prix,sepang,2.76083,101.738,Malaysia,25/03/2012,http://en.wikipedia.org/wiki/2012_Malaysian_Grand_Prix
2012,3,Chinese Grand Prix,shanghai,31.3389,121.22,China,15/04/2012,http://en.wikipedia.org/wiki/2012_Chinese_Grand_Prix
2012,4,Bahrain Grand Prix,bahrain,26.0325,50.5106,Bahrain,22/04/2012,http://en.wikipedia.org/wiki/2012_Bahrain_Grand_Prix
2012,5,Spanish Grand Prix,catalunya,41.57,2.26111,Spain,13/05/2012,http://en.wikipedia.org/wiki/2012_Spanish_Grand_Prix
2012,6,Monaco Grand Prix,monaco,43.7347,7.42056,Monaco,27/05/2012,http://en.wikipedia.org/wiki/2012_Monaco_Grand_Prix
2012,7,Canadian Grand Prix,villeneuve,45.5,-73.5228,Canada,10/06/2012,http://en.wikipedia.org/wiki/2012_Canadian_Grand_Prix
2012,8,European Grand Prix,valencia,39.4589,-0.331667,Spain,24/06/2012,http://en.wikipedia.org/wiki/2012_European_Grand_Prix
2012,9,British Grand Prix,silverstone,52.0786,-1.01694,UK,08/07/2012,http://en.wikipedia.org/wiki/2012_British_Grand_Prix
2012,10,German Grand Prix,hockenheimring,49.3278,8.56583,Germany,22/07/2012,http://en.wikipedia.org/wiki/2012_German_Grand_Prix
2012,11,Hungarian Grand Prix,hungaroring,47.5789,19.2486,Hungary,29/07/2012,http://en.wikipedia.org/wiki/2012_Hungarian_Grand_Prix
2012,12,Belgian Grand Prix,spa,50.4372,5.97139,Belgium,02/09/2012,http://en.wikipedia.org/wiki/2012_Belgian_Grand_Prix
2012,13,Italian Grand Prix,monza,45.6156,9.28111,Italy,09/09/2012,http://en.wikipedia.org/wiki/2012_Italian_Grand_Prix
2012,14,Singapore Grand Prix,marina_bay,1.2914,103.864,Singapore,23/09/2012,http://en.wikipedia.org/wiki/2012_Singapore_Grand_Prix
2012,15,Japanese Grand Prix,suzuka,34.8431,136.541,Japan,07/10/2012,http://en.wikipedia.org/wiki/2012_Japanese_Grand_Prix
2012,16,Korean Grand Prix,yeongam,34.7333,126.417,Korea,14/10/2012,http://en.wikipedia.org/wiki/2012_Korean_Grand_Prix
2012,17,Indian Grand Prix,buddh,28.3487,77.5331,India,28/10/2012,http://en.wikipedia.org/wiki/2012_Indian_Grand_Prix
2012,18,Abu Dhabi Grand Prix,yas_marina,24.4672,54.6031,UAE,04/11/2012,http://en.wikipedia.org/wiki/2012_Abu_Dhabi_Grand_Prix
2012,19,United States Grand Prix,americas,30.1328,-97.6411,USA,18/11/2012,http://en.wikipedia.org/wiki/2012_United_States_Grand_Prix
2012,20,Brazilian Grand Prix,interlagos,-23.7036,-46.6997,Brazil,25/11/2012,http://en.wikipedia.org/wiki/2012_Brazilian_Grand_Prix
2013,1,Australian Grand Prix,albert_park,-37.8497,144.968,Australia,17/03/2013,http://en.wikipedia.org/wiki/2013_Australian_Grand_Prix
2013,2,Malaysian Grand Prix,sepang,2.76083,101.738,Malaysia,24/03/2013,http://en.wikipedia.org/wiki/2013_Malaysian_Grand_Prix
2013,3,Chinese Grand Prix,shanghai,31.3389,121.22,China,14/04/2013,http://en.wikipedia.org/wiki/2013_Chinese_Grand_Prix
2013,4,Bahrain Grand Prix,bahrain,26.0325,50.5106,Bahrain,21/04/2013,http://en.wikipedia.org/wiki/2013_Bahrain_Grand_Prix
2013,5,Spanish Grand Prix,catalunya,41.57,2.26111,Spain,12/05/2013,http://en.wikipedia.org/wiki/2013_Spanish_Grand_Prix
2013,6,Monaco Grand Prix,monaco,43.7347,7.42056,Monaco,26/05/2013,http://en.wikipedia.org/wiki/2013_Monaco_Grand_Prix
2013,7,Canadian Grand Prix,villeneuve,45.5,-73.5228,Canada,09/06/2013,http://en.wikipedia.org/wiki/2013_Canadian_Grand_Prix
2013,8,British Grand Prix,silverstone,52.0786,-1.01694,UK,30/06/2013,http://en.wikipedia.org/wiki/2013_British_Grand_Prix
2013,9,German Grand Prix,nurburgring,50.3356,6.9475,Germany,07/07/2013,http://en.wikipedia.org/wiki/2013_German_Grand_Prix
2013,10,Hungarian Grand Prix,hungaroring,47.5789,19.2486,Hungary,28/07/2013,http://en.wikipedia.org/wiki/2013_Hungarian_Grand_Prix
2013,11,Belgian Grand Prix,spa,50.4372,5.97139,Belgium,25/08/2013,http://en.wikipedia.org/wiki/2013_Belgian_Grand_Prix
2013,12,Italian Grand Prix,monza,45.6156,9.28111,Italy,08/09/2013,http://en.wikipedia.org/wiki/2013_Italian_Grand_Prix
2013,13,Singapore Grand Prix,marina_bay,1.2914,103.864,Singapore,22/09/2013,http://en.wikipedia.org/wiki/2013_Singapore_Grand_Prix
2013,14,Korean Grand Prix,yeongam,34.7333,126.417,Korea,06/10/2013,http://en.wikipedia.org/wiki/2013_Korean_Grand_Prix
2013,15,Japanese Grand Prix,suzuka,34.8431,136.541,Japan,13/10/2013,http://en.wikipedia.org/wiki/2013_Japanese_Grand_Prix
2013,16,Indian Grand Prix,buddh,28.3487,77.5331,India,27/10/2013,http://en.wikipedia.org/wiki/2013_Indian_Grand_Prix
2013,17,Abu Dhabi Grand Prix,yas_marina,24.4672,54.6031,UAE,03/11/2013,http://en.wikipedia.org/wiki/2013_Abu_Dhabi_Grand_Prix
2013,18,United States Grand Prix,americas,30.1328,-97.6411,USA,17/11/2013,http://en.wikipedia.org/wiki/2013_United_States_Grand_Prix
2013,19,Brazilian Grand Prix,interlagos,-23.7036,-46.6997,Brazil,24/11/2013,http://en.wikipedia.org/wiki/2013_Brazilian_Grand_Prix
2014,1,Australian Grand Prix,albert_park,-37.8497,144.968,Australia,16/03/2014,http://en.wikipedia.org/wiki/2014_Australian_Grand_Prix
2014,2,Malaysian Grand Prix,sepang,2.76083,101.738,Malaysia,30/03/2014,http://en.wikipedia.org/wiki/2014_Malaysian_Grand_Prix
2014,3,Bahrain Grand Prix,bahrain,26.0325,50.5106,Bahrain,06/04/2014,http://en.wikipedia.org/wiki/2014_Bahrain_Grand_Prix
2014,4,Chinese Grand Prix,shanghai,31.3389,121.22,China,20/04/2014,http://en.wikipedia.org/wiki/2014_Chinese_Grand_Prix
2014,5,Spanish Grand Prix,catalunya,41.57,2.26111,Spain,11/05/2014,http://en.wikipedia.org/wiki/2014_Spanish_Grand_Prix
2014,6,Monaco Grand Prix,monaco,43.7347,7.42056,Monaco,25/05/2014,http://en.wikipedia.org/wiki/2014_Monaco_Grand_Prix
2014,7,Canadian Grand Prix,villeneuve,45.5,-73.5228,Canada,08/06/2014,http://en.wikipedia.org/wiki/2014_Canadian_Grand_Prix
2014,8,Austrian Grand Prix,red_bull_ring,47.2197,14.7647,Austria,22/06/2014,http://en.wikipedia.org/wiki/2014_Austrian_Grand_Prix
2014,9,British Grand Prix,silverstone,52.0786,-1.01694,UK,06/07/2014,http://en.wikipedia.org/wiki/2014_British_Grand_Prix
2014,10,German Grand Prix,hockenheimring,49.3278,8.56583,Germany,20/07/2014,http://en.wikipedia.org/wiki/2014_German_Grand_Prix
2014,11,Hungarian Grand Prix,hungaroring,47.5789,19.2486,Hungary,27/07/2014,http://en.wikipedia.org/wiki/2014_Hungarian_Grand_Prix
2014,12,Belgian Grand Prix,spa,50.4372,5.97139,Belgium,24/08/2014,http://en.wikipedia.org/wiki/2014_Belgian_Grand_Prix
2014,13,Italian Grand Prix,monza,45.6156,9.28111,Italy,07/09/2014,http://en.wikipedia.org/wiki/2014_Italian_Grand_Prix
2014,14,Singapore Grand Prix,marina_bay,1.2914,103.864,Singapore,21/09/2014,http://en.wikipedia.org/wiki/2014_Singapore_Grand_Prix
2014,15,Japanese Grand Prix,suzuka,34.8431,136.541,Japan,05/10/2014,http://en.wikipedia.org/wiki/2014_Japanese_Grand_Prix
2014,16,Russian Grand Prix,sochi,43.4057,39.9578,Russia,12/10/2014,http://en.wikipedia.org/wiki/2014_Russian_Grand_Prix
2014,17,United States Grand Prix,americas,30.1328,-97.6411,USA,02/11/2014,http://en.wikipedia.org/wiki/2014_United_States_Grand_Prix
2014,18,Brazilian Grand Prix,interlagos,-23.7036,-46.6997,Brazil,09/11/2014,http://en.wikipedia.org/wiki/2014_Brazilian_Grand_Prix
2014,19,Abu Dhabi Grand Prix,yas_marina,24.4672,54.6031,UAE,23/11/2014,http://en.wikipedia.org/wiki/2014_Abu_Dhabi_Grand_Prix
2015,1,Australian Grand Prix,albert_park,-37.8497,144.968,Australia,15/03/2015,http://en.wikipedia.org/wiki/2015_Australian_Grand_Prix
2015,2,Malaysian Grand Prix,sepang,2.76083,101.738,Malaysia,29/03/2015,http://en.wikipedia.org/wiki/2015_Malaysian_Grand_Prix
2015,3,Chinese Grand Prix,shanghai,31.3389,121.22,China,12/04/2015,http://en.wikipedia.org/wiki/2015_Chinese_Grand_Prix
2015,4,Bahrain Grand Prix,bahrain,26.0325,50.5106,Bahrain,19/04/2015,http://en.wikipedia.org/wiki/2015_Bahrain_Grand_Prix
2015,5,Spanish Grand Prix,catalunya,41.57,2.26111,Spain,10/05/2015,http://en.wikipedia.org/wiki/2015_Spanish_Grand_Prix
2015,6,Monaco Grand Prix,monaco,43.7347,7.42056,Monaco,24/05/2015,http://en.wikipedia.org/wiki/2015_Monaco_Grand_Prix
2015,7,Canadian Grand Prix,villeneuve,45.5,-73.5228,Canada,07/06/2015,http://en.wikipedia.org/wiki/2015_Canadian_Grand_Prix
2015,8,Austrian Grand Prix,red_bull_ring,47.2197,14.7647,Austria,21/06/2015,http://en.wikipedia.org/wiki/2015_Austrian_Grand_Prix
2015,9,British Grand Prix,silverstone,52.0786,-1.01694,UK,05/07/2015,http://en.wikipedia.org/wiki/2015_British_Grand_Prix
2015,10,Hungarian Grand Prix,hungaroring,47.5789,19.2486,Hungary,26/07/2015,http://en.wikipedia.org/wiki/2015_Hungarian_Grand_Prix
2015,11,Belgian Grand Prix,spa,50.4372,5.97139,Belgium,23/08/2015,http://en.wikipedia.org/wiki/2015_Belgian_Grand_Prix
2015,12,Italian Grand Prix,monza,45.6156,9.28111,Italy,06/09/2015,http://en.wikipedia.org/wiki/2015_Italian_Grand_Prix
2015,13,Singapore Grand Prix,marina_bay,1.2914,103.864,Singapore,20/09/2015,http://en.wikipedia.org/wiki/2015_Singapore_Grand_Prix
2015,14,Japanese Grand Prix,suzuka,34.8431,136.541,Japan,27/09/2015,http://en.wikipedia.org/wiki/2015_Japanese_Grand_Prix
2015,15,Russian Grand Prix,sochi,43.4057,39.9578,Russia,11/10/2015,http://en.wikipedia.org/wiki/2015_Russian_Grand_Prix
2015,16,United States Grand Prix,americas,30.1328,-97.6411,USA,25/10/2015,http://en.wikipedia.org/wiki/2015_United_States_Grand_Prix
2015,17,Mexican Grand Prix,rodriguez,19.4042,-99.0907,Mexico,01/11/2015,http://en.wikipedia.org/wiki/2015_Mexican_Grand_Prix
2015,18,Brazilian Grand Prix,interlagos,-23.7036,-46.6997,Brazil,15/11/2015,http://en.wikipedia.org/wiki/2015_Brazilian_Grand_Prix
2015,19,Abu Dhabi Grand Prix,yas_marina,24.4672,54.6031,UAE,29/11/2015,http://en.wikipedia.org/wiki/2015_Abu_Dhabi_Grand_Prix
2016,1,Australian Grand Prix,albert_park,-37.8497,144.968,Australia,20/03/2016,http://en.wikipedia.org/wiki/2016_Australian_Grand_Prix
2016,2,Bahrain Grand Prix,bahrain,26.0325,50.5106,Bahrain,03/04/2016,http://en.wikipedia.org/wiki/2016_Bahrain_Grand_Prix
2016,3,Chinese Grand Prix,shanghai,31.3389,121.22,China,17/04/2016,http://en.wikipedia.org/wiki/2016_Chinese_Grand_Prix
2016,4,Russian Grand Prix,sochi,43.4057,39.9578,Russia,01/05/2016,http://en.wikipedia.org/wiki/2016_Russian_Grand_Prix
2016,5,Spanish Grand Prix,catalunya,41.57,2.26111,Spain,15/05/2016,http://en.wikipedia.org/wiki/2016_Spanish_Grand_Prix
2016,6,Monaco Grand Prix,monaco,43.7347,7.42056,Monaco,29/05/2016,http://en.wikipedia.org/wiki/2016_Monaco_Grand_Prix
2016,7,Canadian Grand Prix,villeneuve,45.5,-73.5228,Canada,12/06/2016,http://en.wikipedia.org/wiki/2016_Canadian_Grand_Prix
2016,8,European Grand Prix,baku,40.3725,49.8533,Azerbaijan,19/06/2016,http://en.wikipedia.org/wiki/2016_European_Grand_Prix
2016,9,Austrian Grand Prix,red_bull_ring,47.2197,14.7647,Austria,03/07/2016,http://en.wikipedia.org/wiki/2016_Austrian_Grand_Prix
2016,10,British Grand Prix,silverstone,52.0786,-1.01694,UK,10/07/2016,http://en.wikipedia.org/wiki/2016_British_Grand_Prix
2016,11,Hungarian Grand Prix,hungaroring,47.5789,19.2486,Hungary,24/07/2016,http://en.wikipedia.org/wiki/2016_Hungarian_Grand_Prix
2016,12,German Grand Prix,hockenheimring,49.3278,8.56583,Germany,31/07/2016,http://en.wikipedia.org/wiki/2016_German_Grand_Prix
2016,13,Belgian Grand Prix,spa,50.4372,5.97139,Belgium,28/08/2016,http://en.wikipedia.org/wiki/2016_Belgian_Grand_Prix
2016,14,Italian Grand Prix,monza,45.6156,9.28111,Italy,04/09/2016,http://en.wikipedia.org/wiki/2016_Italian_Grand_Prix
